fips,l1Distance,C_01-22,C_01-23,C_01-24,C_01-25,C_01-26,C_01-27,C_01-28,C_01-29,C_01-30,C_01-31,C_02-01,C_02-02,C_02-03,C_02-04,C_02-05,C_02-06,C_02-07,C_02-08,C_02-09,C_02-10,C_02-11,C_02-12,C_02-13,C_02-14,C_02-15,C_02-16,C_02-17,C_02-18,C_02-19,C_02-20,C_02-21,C_02-22,C_02-23,C_02-24,C_02-25,C_02-26,C_02-27,C_02-28,C_02-29,C_03-01,C_03-02,C_03-03,C_03-04,C_03-05,C_03-06,C_03-07,C_03-08,C_03-09,C_03-10,C_03-11,C_03-12,C_03-13,C_03-14,C_03-15,C_03-16,C_03-17,C_03-18,C_03-19,C_03-20,C_03-21,C_03-22,C_03-23,C_03-24,C_03-25,C_03-26,C_03-27,C_03-28,C_03-29,C_03-30,C_03-31,C_04-01,C_04-02,C_04-03,C_04-04,C_04-05,C_04-06,C_04-07,C_04-08,C_04-09,C_04-10,C_04-11,C_04-12,C_04-13,C_04-14,C_04-15,C_04-16,C_04-17,C_04-18,C_04-19,C_04-20,C_04-21,C_04-22,C_04-23,C_04-24,C_04-25,C_04-26,D_01-22,D_01-23,D_01-24,D_01-25,D_01-26,D_01-27,D_01-28,D_01-29,D_01-30,D_01-31,D_02-01,D_02-02,D_02-03,D_02-04,D_02-05,D_02-06,D_02-07,D_02-08,D_02-09,D_02-10,D_02-11,D_02-12,D_02-13,D_02-14,D_02-15,D_02-16,D_02-17,D_02-18,D_02-19,D_02-20,D_02-21,D_02-22,D_02-23,D_02-24,D_02-25,D_02-26,D_02-27,D_02-28,D_02-29,D_03-01,D_03-02,D_03-03,D_03-04,D_03-05,D_03-06,D_03-07,D_03-08,D_03-09,D_03-10,D_03-11,D_03-12,D_03-13,D_03-14,D_03-15,D_03-16,D_03-17,D_03-18,D_03-19,D_03-20,D_03-21,D_03-22,D_03-23,D_03-24,D_03-25,D_03-26,D_03-27,D_03-28,D_03-29,D_03-30,D_03-31,D_04-01,D_04-02,D_04-03,D_04-04,D_04-05,D_04-06,D_04-07,D_04-08,D_04-09,D_04-10,D_04-11,D_04-12,D_04-13,D_04-14,D_04-15,D_04-16,D_04-17,D_04-18,D_04-19,D_04-20,D_04-21,D_04-22,D_04-23,D_04-24,D_04-25,D_04-26
37119,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,-3,0,0,-15,0,0,0,1,0,28,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,91,0,17,42,74,109,148,226,271,314,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,3,3,2,3,1,0,1,1,1,1,4,0,0,0,5,0,1,0,0,0,0,0
44007,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-38,-59,-75,-97,-8,0,0,0,0,0,57,26,-84,0,0,2,2,0,0,0,0,-115,0,0,0,-1,0,0,-337,-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,1,1,-6,-6,4,7,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
32003,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,180,300,365,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,26,31,40,0,0,0,0,0,0,0,0,0,6,0
36119,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,14,12,-2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,2,0,0,0,0,0,0,0,0,-3,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,5,-2,-2,0,0,0,0,0,-39,0,-4,0,-14,20,21,28,0,39,44,51,53,58,68,70,70,70,88,91,95,94,99,98,102,108
48439,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,0,10,28,28,0,-14,-19,-10,0,-14,0,-16,-98,0,0,0,-21,-14,0,-65,0,0,0,-82,0,0,53,0,-103,0,54,0,7,84,97,129,147,130,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,1,1,1,0,0,0,4,1,4,1,3,1,0,3,2,1,3,4,1
31055,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,15,12,13,14,14,15,12,14,16,14,18,14,14,12,11,15,17,14,15,13,22,19,29,32,19,16,15,18,20,27,14,17,24,22,15,22,18,20,15,21,22,25,26,24,24,14,35,28,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,6,6,6,6,7,7,7,7,7,7,9,13,13,13,13,13,13
31079,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-3,11,0,4,3,21,51,92,149,121,112,138,103,48,17,74,100,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,4,4,4,7,7,9,9,12,15,18,18,18
27053,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,38,98,157,225,312,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,-1,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48113,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,3,3,12,19,2,0,21,58,4,0,-78,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,89,0,0,0,134,0,84,90,81,80,71,75,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,1,2,3,2,4,5,10,1,7,5,5,0,0,4,1,7,5,4,1
06001,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,21,22,21,25,22,22,22,22,22,22,22,22,22,21,17,27,21,36,21,21,21,21,21,21,21,21,-73,21,21,21,21,21,0,21,21,23,24,21,62,23,21,21,21,21,-20,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2,2,0,0,0
53033,1067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-2,2,1,1,2,1,1,1,8,1,1,1,1,1,2,1,1,-44,1,0,1,1,-4,-4,1,1,2,2,2,2,2,2,2,2,78,35,11,38,28,22,4,72,23,6,34,10,23,15,39,41,39,36,21,24,39,54,74,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,0,1,1,0,1,1,1,1,1,1,1,4,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,0,4,2,4,6,4,3,4,4,2,6,2,2,2,3,3,2,4,1,2,1,0,1,2
53061,1061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,-1,-1,0,-1,-1,-1,5,8,7,1,-1,-1,0,-1,-1,11,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-52,-58,-13,3,51,58,72,80,62,43,-1,58,36,22,31,33,15,11,23,32,41,37,10,20,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,-1,2,2,2,2,-1,-1,-1,-2,-1,-1,1,2,1,-1,1,1,-1,-1,3,0,-1,0,-2,-1,-2,0,-1,-2,-2,0,1,0
48029,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,4,4,4,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,10,10,9,11,28,28,26,-7,-1,-15,-29,-7,-15,-17,-11,0,0,0,0,11,11,11,22,-40,11,11,0,-38,-11,11,11,-17,11,44,0,25,51,46,52,39,48,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-2,0,0,0,0,0,0,0,1,2,0,0,6,0,2,2,0,0,0,0,4,0,0,1,1,0,0,0,4,0,0,0
48453,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,-1,-15,-34,-20,21,38,-7,-19,0,0,0,0,0,6,0,0,0,-79,-30,-24,0,-52,-1,-45,-48,-54,0,0,44,-77,-52,0,18,0,66,59,30,49,67,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,3,2,2,1,1,1,3,1,4,3
53077,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,2,2,0,7,8,0,0,0,0,0,5,52,-14,-55,-16,0,51,8,47,34,23,6,20,0,39,-3,0,21,47,40,67,11,0,63,28,17,73,29,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,0,1,1,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,0,-1,1,0,0,1
31043,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,20,6,7,22,35,0,82,111,306,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11001,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-3,-32,-6,-21,-18,-21,-46,-48,-36,-37,-38,-59,-94,-91,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,-4,0,-2,-1,-3,-6,0,0,2,2,0,10,16,25,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0
08005,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,85,144,185,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0
